feature_set,top_n,cost_bps,fold_id,n_rebalances,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,mean_turnover,ic,hit_rate
baseline_price_only,10,10.0,0,21,0.01266814166970773,0.011872794964386663,0.008932853072422265,0.0037352885972854657,0.0029399418919643988,0.7953467053210664,0.03870408863913136,0.9047619047619048
baseline_price_only,10,10.0,1,21,0.0028580772878795944,0.002214232893213534,0.0008029028110496708,0.0020551744768299244,0.0014113300821638624,0.643844394666061,0.08537097101020796,0.5238095238095238
baseline_price_only,10,10.0,2,21,-0.0046901175379556554,-0.005247595969451684,-0.004074511077241401,-0.0006156064607142532,-0.0011730848922102827,0.5574784314960295,0.019998723992330724,0.42857142857142855
baseline_price_only,10,10.0,3,21,0.008330385085489958,0.007621295593265381,0.0037169589758910384,0.0046134261095989205,0.003904336617374344,0.7090894922245781,0.08856383625014427,0.6666666666666666
baseline_price_only,10,10.0,4,21,0.00428043853453005,0.0035185665005989094,-0.00030393047583275715,0.004584369010362806,0.0038224969764316654,0.7618720339311402,0.057161463563138865,0.6190476190476191
baseline_price_only,10,10.0,5,21,0.008054874360982737,0.007311144163136736,0.004480737036203207,0.0035741373247795286,0.0028304071269335284,0.7437301978459994,0.01956922076473174,0.7142857142857143
baseline_price_only,10,10.0,6,21,0.0032264420734027773,0.002493124146939308,0.002722394815317979,0.0005040472580847986,-0.00022927066837867086,0.7333179264634693,-0.03859862246039501,0.5238095238095238
baseline_price_only,10,10.0,7,21,0.003654997467985833,0.0029023301802887794,0.001020567034723144,0.0026344304332626884,0.0018817631455656356,0.7526672876970534,0.07596975747447389,0.6666666666666666
baseline_price_only,10,10.0,8,21,-0.004093974066860147,-0.004822942249403496,-0.004663991409692929,0.0005700173428327829,-0.00015895083971056707,0.7289681825433499,0.07160393760924216,0.42857142857142855
baseline_price_only,10,10.0,9,21,-0.0016511259335977618,-0.0022715451880791025,-0.0005198065564147652,-0.0011313193771829973,-0.0017517386316643364,0.6204192544813393,0.04813573419860017,0.47619047619047616
baseline_price_only,10,10.0,10,21,0.001771976572216858,0.0009956773484720276,-0.0018190276205637447,0.003591004192780603,0.0028147049690357734,0.7762992237448303,0.09143602888592935,0.5714285714285714
baseline_price_only,10,10.0,11,21,0.0026676218670519092,0.0018728818446696518,0.0006997281919094859,0.001967893675142424,0.0011731536527601668,0.7947400223822575,0.08566005411324361,0.42857142857142855
