variant,n_folds,mean_alpha_net,pct_folds_positive
base,11,0.007647909368462721,0.8181818181818182
num_leaves-20%,11,0.006765594445546994,0.8181818181818182
num_leaves+20%,11,0.006863139292274637,0.9090909090909091
learning_rate-20%,11,0.00712122449233307,0.8181818181818182
learning_rate+20%,11,0.00673911566477428,0.8181818181818182
n_estimators-20%,11,0.00706302977428854,0.8181818181818182
n_estimators+20%,11,0.007840944434176898,0.9090909090909091
seed=7,11,0.007830021596814138,0.8181818181818182
seed=123,11,0.006156187909255031,0.8181818181818182
