horizon_bars,top_n,mean_alpha_gross,mean_turnover,breakeven_cost_bps
1,10,6.182314752879275e-05,0.6981122961704237,0.8855759720596647
1,20,0.0004404316775839002,0.5997593937778782,7.343472768465127
1,50,-2.5740403663797796e-05,0.05210301772060056,-4.940290368943548
1,100,-0.0020522556235389147,0.010362714090812132,-1980.42289457595
3,10,0.0023387852836623648,0.6399509116009612,36.54632318299915
3,20,0.0016131717734034186,0.5476948560394649,29.453841963547294
3,50,0.0003880843668270905,0.09760143733173308,39.76215693505088
3,100,-0.003368984579509001,0.003110687980387049,-10830.352001713181
5,10,0.0029875681663965046,0.6762835568112715,44.17626506377171
5,20,0.0021515913347120814,0.6020566569542675,35.737356440782904
5,50,0.0006634221983003095,0.11571869889524262,57.33059606044221
5,100,-0.0048245488223916866,0.019723933436042364,-2446.0378747656832
10,10,0.006008907964871051,0.6139911456760718,97.86636187162898
10,20,0.003267455792727004,0.5161132732096645,63.30888900428727
10,50,0.0008771546902882079,0.10410059086361885,84.26029891005705
10,100,-0.009688339930500523,0.01043048184515451,-9288.487410580412
20,10,0.006037350580422979,0.6146553884990484,98.22334097104113
20,20,0.005237995815364673,0.5179092300576352,101.13733278670793
20,50,0.001959008077301425,0.10769507834646355,181.90321297684022
20,100,-0.020080470741118687,0.00734417532075917,-27342.03619071959
