annual_shock_rate,mean_alpha_net,p5_alpha_net,p95_alpha_net,pct_mc_draws_positive
0.0,0.003943222740220587,0.003943222740220586,0.003943222740220586,1.0
0.01,0.0033337983059487965,0.0028143411594070086,0.003810937229529793,1.0
0.02,0.0027749726565195498,0.0020710122081079,0.003370319250385541,1.0
0.03,0.0021024346608731364,0.001134985180158645,0.0028696074890172,1.0
0.05,0.0008453595624224602,-0.0003017916529411201,0.0019312763070340846,0.905
0.08,-0.0009379439914895588,-0.0024289063647616317,0.0005271210657486732,0.155
0.12,-0.0036168720888642035,-0.0053190397714078215,-0.0019502487466577176,0.0
0.18,-0.007927247369868351,-0.010006647376473027,-0.00585222368915341,0.0
0.25,-0.013196499956390058,-0.0157057345008511,-0.010369194190358299,0.0
