horizon_bars,top_n,cost_bps,n_folds,mean_alpha_net,std_alpha_net,pct_folds_positive,mean_ic,mean_turnover,mean_gross_alpha
1,10,10.0,13,9.812704458100332e-05,0.0011863863266120653,0.5384615384615384,0.016779003585645436,0.666062271062271,0.0007641893156432745
1,10,15.0,13,-0.00023490409095013235,0.001183487281689177,0.38461538461538464,0.016779003585645436,0.666062271062271,0.0007641893156432745
1,10,25.0,13,-0.0009009663620124035,0.0011782248516979798,0.23076923076923078,0.016779003585645436,0.666062271062271,0.0007641893156432745
1,10,35.0,13,-0.0015670286330746745,0.001173684504819936,0.07692307692307693,0.016779003585645436,0.666062271062271,0.0007641893156432745
1,20,10.0,13,-5.1846042009582334e-05,0.0007974996686943139,0.5384615384615384,0.016779003585645436,0.5863553113553114,0.0005345092693457292
1,20,15.0,13,-0.00034502369768723797,0.000793424576241804,0.3076923076923077,0.016779003585645436,0.5863553113553114,0.0005345092693457292
1,20,25.0,13,-0.0009313790090425493,0.0007868311242965627,0.15384615384615385,0.016779003585645436,0.5863553113553114,0.0005345092693457292
1,20,35.0,13,-0.0015177343203978608,0.0007823553287756485,0.0,0.016779003585645436,0.5863553113553114,0.0005345092693457292
1,50,10.0,13,-0.0001265321072551081,0.00045649143348432423,0.5384615384615384,0.016779003585645436,0.3635384615384616,0.00023700635428335352
1,50,15.0,13,-0.0003083013380243389,0.0004506783156057836,0.23076923076923078,0.016779003585645436,0.3635384615384616,0.00023700635428335352
1,50,25.0,13,-0.0006718397995628003,0.0004418314151088692,0.07692307692307693,0.016779003585645436,0.3635384615384616,0.00023700635428335352
1,50,35.0,13,-0.001035378261101262,0.00043686811975265075,0.0,0.016779003585645436,0.3635384615384616,0.00023700635428335352
1,100,10.0,13,-0.0016022994080328304,0.0026944889408236188,0.23076923076923078,0.016779003585645436,0.0,-0.0016022994080328304
1,100,15.0,13,-0.0016022994080328304,0.0026944889408236188,0.23076923076923078,0.016779003585645436,0.0,-0.0016022994080328304
1,100,25.0,13,-0.0016022994080328304,0.0026944889408236188,0.23076923076923078,0.016779003585645436,0.0,-0.0016022994080328304
1,100,35.0,13,-0.0016022994080328304,0.0026944889408236188,0.23076923076923078,0.016779003585645436,0.0,-0.0016022994080328304
3,10,10.0,12,-0.0007700022631843915,0.005356046395017149,0.4166666666666667,0.0028596388524313905,0.5798611111111112,-0.00019014115207328052
3,10,15.0,12,-0.0010599328187399476,0.0053482132326374875,0.4166666666666667,0.0028596388524313905,0.5798611111111112,-0.00019014115207328052
3,10,25.0,12,-0.0016397939298510584,0.0053329198546285565,0.4166666666666667,0.0028596388524313905,0.5798611111111112,-0.00019014115207328052
3,10,35.0,12,-0.0022196550409621695,0.005318127299377206,0.4166666666666667,0.0028596388524313905,0.5798611111111112,-0.00019014115207328052
3,20,10.0,12,-0.00046494052831844027,0.002851938679975071,0.5,0.0028596388524313905,0.501388888888889,3.6448360570448764e-05
3,20,15.0,12,-0.0007156349727628846,0.0028540060358903502,0.4166666666666667,0.0028596388524313905,0.501388888888889,3.6448360570448764e-05
3,20,25.0,12,-0.0012170238616517736,0.0028585995257478115,0.3333333333333333,0.0028596388524313905,0.501388888888889,3.6448360570448764e-05
