year,signals,expectancy_gross,expectancy_net,winrate,hit_rate_1.5pct,bench_exp,alpha
2001,94665,0.005114610397210448,0.002614610397210448,0.4662758147150478,0.3398721808482544,0.001031521262422725,0.004083089134787723
2002,106465,0.011094300763032994,0.008594300763032994,0.46501667214577563,0.3188747475696238,0.006585759387690179,0.0045085413753428154
2003,102612,0.006769838071650124,0.004269838071650123,0.5011012357229174,0.3397263477955795,0.004429932355724216,0.0023399057159259077
2004,108011,0.0038316219983975976,0.0013316219983975975,0.49093147920119246,0.32410587810500785,0.0019092611733157938,0.0019223608250818038
2005,86747,0.0031084143637820404,0.0006084143637820403,0.4925934038064717,0.2981889863626408,0.0016513705087559877,0.0014570438550260527
2006,95250,0.001862587675088848,-0.000637412324911152,0.4850708661417323,0.3049238845144357,0.000724311983237756,0.001138275691851092
2007,112575,0.005014789451471615,0.0025147894514716148,0.5139684654674661,0.3200355318676438,0.002506528133959666,0.002508261317511949
2008,181011,-0.0017820796849557733,-0.004282079684955774,0.457419714823961,0.30895359950500245,-0.004222776737569458,0.0024406970526136846
2009,197291,0.0058581491290267355,0.0033581491290267354,0.5121875807816879,0.34554034395892363,0.004000013989524658,0.0018581351395020778
2010,135158,0.0018835746438952078,-0.0006164253561047922,0.47856582666212877,0.2753222154811406,0.0005906612559442503,0.0012929133879509575
2011,149512,-0.00011997697332993209,-0.0026199769733299323,0.4511209802557654,0.2693830595537482,-0.002025579042783538,0.001905602069453606
2012,148239,0.0036637315713168093,0.0011637315713168093,0.4825113499146648,0.30141865500981524,0.001263995445381657,0.0023997361259351525
2013,153608,0.0018923096854290427,-0.0006076903145709573,0.4595789281808239,0.2977709494297172,-0.0004683151176960201,0.002360624803125063
2014,186931,0.005031517740787816,0.0025315177407878157,0.4926363203534994,0.32332250937511703,0.002749723353237487,0.002281794387550329
2015,178115,0.0037800520323884113,0.0012800520323884112,0.4783033433455913,0.30794711282036885,0.001209719844073795,0.0025703321883146163
2016,164490,0.0032536201323547474,0.0007536201323547474,0.4805520092406833,0.30451699191440207,0.0004949783174936087,0.0027586418148611387
2017,129638,0.004066731551321026,0.0015667315513210258,0.4788487943349944,0.2894290254400716,0.00183449583102891,0.002232235720292116
2018,159768,0.000794774145424589,-0.0017052258545754112,0.4624455460417606,0.2863840068098743,-0.0014552805636790138,0.0022500547091036027
2019,153366,0.0017321863436782661,-0.0007678136563217339,0.4529165525605415,0.2882646740477029,-0.0008290888067019953,0.002561275150380261
2020,219831,0.004406017444184014,0.001906017444184014,0.494466203583662,0.33517110871533135,0.0019091697512631392,0.002496847692920875
2021,189091,0.004792636563686342,0.0022926365636863418,0.5000290865244776,0.31360032999984133,0.0025979906362085595,0.0021946459274777824
2022,170926,0.0027945884290605247,0.00029458842906052466,0.4967061769420685,0.3063781987526766,0.0004104186816497602,0.0023841697474107646
2023,127464,0.005605638526130372,0.0031056385261303723,0.4994508253310739,0.2907487604343187,0.002123273801329035,0.0034823647248013374
2024,163273,0.003424516467266132,0.0009245164672661318,0.5099802171822653,0.30358356862432856,0.0010781173861895868,0.002346399081076545
2025,150319,0.002944974843133053,0.00044497484313305285,0.517918559862692,0.3055635016198884,-0.00035729854337123324,0.003302273386504286
2026,85440,0.004951768332529203,0.0024517683325292025,0.5412804307116105,0.33639981273408237,-6.989810174953957e-05,0.0050216664342787425
