cap_band,horizon_bars,top_n,cost_bps,fold_id,n_rebalances,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,mean_turnover,ic,hit_rate
full_pit,10,10,10.0,0,12,0.014050784226969162,0.013267368465215664,-0.0015129461854824517,0.015563730412451618,0.014780314650698114,0.7834157617534983,0.07514296632615489,0.6666666666666666
full_pit,10,10,10.0,1,12,0.0074039570148825866,0.006696675710447908,0.004579247110098417,0.002824709904784173,0.002117428600349494,0.7072813044346778,0.1054999495009546,0.6666666666666666
full_pit,10,10,10.0,2,12,0.013283872685106978,0.012541374117402271,-0.007941705823594438,0.02122557850870142,0.02048307994099671,0.7424985677047057,0.10665628194949996,0.4166666666666667
full_pit,10,10,10.0,3,12,0.01855837077072599,0.017984649019715113,0.01946951061593447,-0.0009111398452084805,-0.0014848615962193567,0.5737217510108766,0.012381301917771755,0.75
full_pit,10,10,10.0,4,12,0.037810068512561495,0.03700314831231601,0.02947265962636761,0.008337408886193881,0.007530488685948394,0.8069202002454885,0.04888342363299555,0.75
full_pit,10,10,10.0,5,12,0.029257695739474978,0.02855394283889635,-0.0013364753737426821,0.03059417111321765,0.029890418212639037,0.7037529005786215,0.11403599491050571,0.5833333333333334
full_pit,10,10,10.0,6,12,0.009055646628249188,0.008290504502522228,0.007775308409569085,0.0012803382186801018,0.0005151960929531437,0.7651421257269572,0.041646968122457946,0.6666666666666666
full_pit,10,10,10.0,7,12,0.022177839338303085,0.02141967395536515,0.011588685828869176,0.010589153509433904,0.009830988126495972,0.7581653829379326,0.10031663967755235,0.5833333333333334
full_pit,10,10,10.0,8,12,0.03008018753986214,0.029323343081549453,0.007910752070852916,0.022169435469009225,0.02141259101069654,0.7568444583126815,0.12426114663212254,0.6666666666666666
full_pit,10,10,10.0,9,12,0.022953479753790418,0.022271025609757984,0.012198440771286552,0.010755038982503864,0.010072584838471434,0.6824541440324335,0.10415388497579402,0.6666666666666666
full_pit,10,10,10.0,10,12,0.05198964832539702,0.05123905511301793,0.004606568654955156,0.04738307967044186,0.046632486458062776,0.7505932123790905,0.09240862918593007,0.75
full_pit,10,10,10.0,11,12,-0.007566779193596451,-0.008308875128474315,-0.021062320519165983,0.013495541325569535,0.012753445390691676,0.7420959348778634,0.0873166329659225,0.4166666666666667
full_pit,10,10,10.0,12,12,0.022449646426254768,0.02173705506709514,0.0021216588074964293,0.02032798761875834,0.019615396259598714,0.7125913591596237,0.10980096246730477,0.6666666666666666
full_pit,10,10,10.0,13,12,-0.003170176595750867,-0.003881383663435971,-0.004652054978299351,0.0014818783825484867,0.0007706713148633773,0.7112070676851081,0.08304712425281449,0.3333333333333333
full_pit,10,10,10.0,14,12,0.025707747433038265,0.024973605755337344,-0.007814665669243158,0.03352241310228144,0.0327882714245805,0.7341416777009343,0.09534805023400036,0.5
full_pit,10,10,10.0,15,12,0.05024266403376173,0.04951600548128327,0.026453185978669917,0.02378947805509181,0.023062819502613352,0.7266585524784536,0.0879995281097013,0.8333333333333334
full_pit,10,10,10.0,16,12,0.04342056699636873,0.04269871133770858,0.021893231946374988,0.02152733504999375,0.020805479391333592,0.7218556586601563,0.08135081269889426,0.8333333333333334
full_pit,10,10,10.0,17,12,0.022793397007935468,0.022109937369897577,0.0020305219634791064,0.020762875044456362,0.02007941540641847,0.6834596380378896,0.10811020592799317,0.6666666666666666
full_pit,10,10,10.0,18,12,0.03488726528958319,0.03413962290120936,0.0009391291488604667,0.03394813614072272,0.03320049375234889,0.7476423883738336,0.11397055422667318,0.75
full_pit,10,10,10.0,19,12,0.029104715864364843,0.028472039177244363,0.0036893351857191906,0.025415380678645655,0.02478270399152517,0.6326766871204834,0.10996620691790039,0.6666666666666666
full_pit,10,10,10.0,20,12,0.05005705786931289,0.04947858102930458,0.023620766871933496,0.026436290997379375,0.025857814157371085,0.5784768400082954,0.0455361857324374,0.8333333333333334
full_pit,10,10,10.0,21,12,0.03398826830634142,0.03322227636614079,0.01764866569953046,0.01633960260681097,0.015573610666610333,0.7659919402006347,0.08697413762515399,0.75
full_pit,10,10,10.0,22,12,0.014854152787099756,0.014178445456863692,-0.0052093155615448306,0.02006346834864459,0.019387761018408528,0.6757073302360634,0.0760271828877041,0.5833333333333334
full_pit,10,10,10.0,23,12,0.038462674568351514,0.03777894873810154,0.011364249019059759,0.027098425549291757,0.026414699719041774,0.6837258302499802,0.06332863614202379,0.9166666666666666
full_pit,10,10,10.0,24,12,-0.006354786719667081,-0.007112029860048528,-0.015160871258595915,0.008806084538928834,0.008048841398547387,0.7572431403814455,0.09372897955518482,0.5
full_pit,10,10,15.0,0,12,0.014050784226969162,0.012875660584338915,-0.0015129461854824517,0.015563730412451618,0.014388606769821366,0.7834157617534983,0.07514296632615489,0.6666666666666666
full_pit,10,10,15.0,1,12,0.0074039570148825866,0.00634303505823057,0.004579247110098417,0.002824709904784173,0.0017637879481321535,0.7072813044346778,0.1054999495009546,0.6666666666666666
full_pit,10,10,15.0,2,12,0.013283872685106978,0.01217012483354992,-0.007941705823594438,0.02122557850870142,0.02011183065714436,0.7424985677047057,0.10665628194949996,0.4166666666666667
full_pit,10,10,15.0,3,12,0.01855837077072599,0.017697788144209674,0.01946951061593447,-0.0009111398452084805,-0.001771722471724796,0.5737217510108766,0.012381301917771755,0.6666666666666666
full_pit,10,10,15.0,4,12,0.037810068512561495,0.036599688212193275,0.02947265962636761,0.008337408886193881,0.007127028585825648,0.8069202002454885,0.04888342363299555,0.75
full_pit,10,10,15.0,5,12,0.029257695739474978,0.028202066388607047,-0.0013364753737426821,0.03059417111321765,0.029538541762349727,0.7037529005786215,0.11403599491050571,0.5833333333333334
full_pit,10,10,15.0,6,12,0.009055646628249188,0.007907933439658751,0.007775308409569085,0.0012803382186801018,0.0001326250300896665,0.7651421257269572,0.041646968122457946,0.6666666666666666
full_pit,10,10,15.0,7,12,0.022177839338303085,0.021040591263896184,0.011588685828869176,0.010589153509433904,0.009451905435027006,0.7581653829379326,0.10031663967755235,0.5833333333333334
full_pit,10,10,15.0,8,12,0.03008018753986214,0.028944920852393113,0.007910752070852916,0.022169435469009225,0.0210341687815402,0.7568444583126815,0.12426114663212254,0.6666666666666666
full_pit,10,10,15.0,9,12,0.022953479753790418,0.021929798537741768,0.012198440771286552,0.010755038982503864,0.009731357766455215,0.6824541440324335,0.10415388497579402,0.6666666666666666
full_pit,10,10,15.0,10,12,0.05198964832539702,0.05086375850682839,0.004606568654955156,0.04738307967044186,0.046257189851873236,0.7505932123790905,0.09240862918593007,0.75
full_pit,10,10,15.0,11,12,-0.007566779193596451,-0.008679923095913245,-0.021062320519165983,0.013495541325569535,0.01238239742325274,0.7420959348778634,0.0873166329659225,0.4166666666666667
full_pit,10,10,15.0,12,12,0.022449646426254768,0.021380759387515328,0.0021216588074964293,0.02032798761875834,0.0192591005800189,0.7125913591596237,0.10980096246730477,0.6666666666666666
full_pit,10,10,15.0,13,12,-0.003170176595750867,-0.004236987197278529,-0.004652054978299351,0.0014818783825484867,0.0004150677810208228,0.7112070676851081,0.08304712425281449,0.3333333333333333
full_pit,10,10,15.0,14,12,0.025707747433038265,0.02460653491648687,-0.007814665669243158,0.03352241310228144,0.032421200585730024,0.7341416777009343,0.09534805023400036,0.5
full_pit,10,10,15.0,15,12,0.05024266403376173,0.049152676205044044,0.026453185978669917,0.02378947805509181,0.022699490226374127,0.7266585524784536,0.0879995281097013,0.8333333333333334
full_pit,10,10,15.0,16,12,0.04342056699636873,0.042337783508378496,0.021893231946374988,0.02152733504999375,0.020444551562003515,0.7218556586601563,0.08135081269889426,0.8333333333333334
full_pit,10,10,15.0,17,12,0.022793397007935468,0.021768207550878632,0.0020305219634791064,0.020762875044456362,0.019737685587399523,0.6834596380378896,0.10811020592799317,0.6666666666666666
full_pit,10,10,15.0,18,12,0.03488726528958319,0.03376580170702244,0.0009391291488604667,0.03394813614072272,0.03282667255816197,0.7476423883738336,0.11397055422667318,0.75
full_pit,10,10,15.0,19,12,0.029104715864364843,0.028155700833684117,0.0036893351857191906,0.025415380678645655,0.024466365647964925,0.6326766871204834,0.10996620691790039,0.6666666666666666
full_pit,10,10,15.0,20,12,0.05005705786931289,0.049189342609300434,0.023620766871933496,0.026436290997379375,0.025568575737366928,0.5784768400082954,0.0455361857324374,0.8333333333333334
full_pit,10,10,15.0,21,12,0.03398826830634142,0.03283928039604048,0.01764866569953046,0.01633960260681097,0.015190614696510016,0.7659919402006347,0.08697413762515399,0.75
full_pit,10,10,15.0,22,12,0.014854152787099756,0.013840591791745668,-0.0052093155615448306,0.02006346834864459,0.019049907353290495,0.6757073302360634,0.0760271828877041,0.5833333333333334
full_pit,10,10,15.0,23,12,0.038462674568351514,0.03743708582297655,0.011364249019059759,0.027098425549291757,0.026072836803916782,0.6837258302499802,0.06332863614202379,0.9166666666666666
full_pit,10,10,15.0,24,12,-0.006354786719667081,-0.007490651430239251,-0.015160871258595915,0.008806084538928834,0.007670219828356666,0.7572431403814455,0.09372897955518482,0.5
full_pit,10,10,25.0,0,12,0.014050784226969162,0.012092244822585417,-0.0015129461854824517,0.015563730412451618,0.013605191008067868,0.7834157617534983,0.07514296632615489,0.6666666666666666
full_pit,10,10,25.0,1,12,0.0074039570148825866,0.0056357537537958914,0.004579247110098417,0.002824709904784173,0.0010565066436974758,0.7072813044346778,0.1054999495009546,0.6666666666666666
full_pit,10,10,25.0,2,12,0.013283872685106978,0.01142762626584521,-0.007941705823594438,0.02122557850870142,0.019369332089439653,0.7424985677047057,0.10665628194949996,0.4166666666666667
full_pit,10,10,25.0,3,12,0.01855837077072599,0.017124066393198797,0.01946951061593447,-0.0009111398452084805,-0.0023454442227356727,0.5737217510108766,0.012381301917771755,0.6666666666666666
full_pit,10,10,25.0,4,12,0.037810068512561495,0.03579276801194778,0.02947265962636761,0.008337408886193881,0.00632010838558016,0.8069202002454885,0.04888342363299555,0.75
full_pit,10,10,25.0,5,12,0.029257695739474978,0.027498313488028416,-0.0013364753737426821,0.03059417111321765,0.02883478886177111,0.7037529005786215,0.11403599491050571,0.5833333333333334
full_pit,10,10,25.0,6,12,0.009055646628249188,0.007142791313931794,0.007775308409569085,0.0012803382186801018,-0.0006325170956372915,0.7651421257269572,0.041646968122457946,0.6666666666666666
