horizon_bars,top_n,cost_bps,n_folds,mean_alpha_net,std_alpha_net,pct_folds_positive,mean_ic,mean_turnover,mean_gross_alpha
1,10,10.0,191,-0.0006362891486416311,0.008274216764705042,0.44502617801047123,0.010652113431308969,0.6981122961704237,6.18231475287927e-05
1,10,15.0,191,-0.0009853452967268429,0.008270526058717061,0.38219895287958117,0.010652113431308969,0.6981122961704237,6.18231475287927e-05
1,10,25.0,191,-0.0016834575928972664,0.008263638535562182,0.23036649214659685,0.010652113431308969,0.6981122961704237,6.18231475287927e-05
1,10,35.0,191,-0.00238156988906769,0.008257410887603133,0.12041884816753927,0.010652113431308969,0.6981122961704237,6.18231475287927e-05
1,20,10.0,191,-0.00015932771619397803,0.0022837805252268893,0.4031413612565445,0.010652113431308969,0.5997593937778782,0.0004404316775839002
1,20,15.0,191,-0.00045920741308291715,0.002284084708383486,0.3193717277486911,0.010652113431308969,0.5997593937778782,0.0004404316775839002
1,20,25.0,191,-0.0010589668068607954,0.0022865268514123843,0.18324607329842932,0.010652113431308969,0.5997593937778782,0.0004404316775839002
1,20,35.0,191,-0.0016587262006386736,0.0022914067000770534,0.08376963350785341,0.010652113431308969,0.5997593937778782,0.0004404316775839002
1,50,10.0,191,-7.784342138439834e-05,0.0008649224732773041,0.46596858638743455,0.010652113431308969,0.05210301772060056,-2.57404036637978e-05
1,50,15.0,191,-0.00010389493024469862,0.0008685461979572911,0.418848167539267,0.010652113431308969,0.05210301772060056,-2.57404036637978e-05
1,50,25.0,191,-0.00015599794796529925,0.0008759737890477858,0.3507853403141361,0.010652113431308969,0.05210301772060056,-2.57404036637978e-05
1,50,35.0,191,-0.0002081009656858998,0.0008836365013279634,0.28272251308900526,0.010652113431308969,0.05210301772060056,-2.57404036637978e-05
1,100,10.0,191,-0.0020626183376297267,0.010490444151319727,0.2670157068062827,0.010652113431308969,0.010362714090812132,-0.0020522556235389147
1,100,15.0,191,-0.002067799694675133,0.010500029706302644,0.2670157068062827,0.010652113431308969,0.010362714090812132,-0.0020522556235389147
1,100,25.0,191,-0.002078162408765945,0.010519375260932775,0.2670157068062827,0.010652113431308969,0.010362714090812132,-0.0020522556235389147
1,100,35.0,191,-0.0020885251228567572,0.010538952339461779,0.25654450261780104,0.010652113431308969,0.010362714090812132,-0.0020522556235389147
3,10,10.0,125,0.0016988343720614038,0.004492794073246716,0.656,0.016110394981345345,0.6399509116009612,0.0023387852836623648
3,10,15.0,125,0.0013788589162609232,0.004486216642676849,0.648,0.016110394981345345,0.6399509116009612,0.0023387852836623648
3,10,25.0,125,0.0007389080046599621,0.004474124533367901,0.568,0.016110394981345345,0.6399509116009612,0.0023387852836623648
3,10,35.0,125,9.895709305900098e-05,0.004463458883055869,0.472,0.016110394981345345,0.6399509116009612,0.0023387852836623648
3,20,10.0,125,0.0010654769173639538,0.003342613281382779,0.608,0.016110394981345345,0.5476948560394649,0.0016131717734034186
3,20,15.0,125,0.0007916294893442213,0.003334858484206888,0.568,0.016110394981345345,0.5476948560394649,0.0016131717734034186
3,20,25.0,125,0.00024393463330475644,0.0033206101410229332,0.488,0.016110394981345345,0.5476948560394649,0.0016131717734034186
3,20,35.0,125,-0.00030376022273470837,0.0033080613069871125,0.392,0.016110394981345345,0.5476948560394649,0.0016131717734034186
3,50,10.0,125,0.0002904829294953574,0.000908482904027288,0.648,0.016110394981345345,0.09760143733173308,0.0003880843668270905
3,50,15.0,125,0.00024168221082949075,0.0009092962450132747,0.64,0.016110394981345345,0.09760143733173308,0.0003880843668270905
3,50,25.0,125,0.00014408077349775775,0.0009112975791429543,0.576,0.016110394981345345,0.09760143733173308,0.0003880843668270905
3,50,35.0,125,4.647933616602457e-05,0.0009137956290236713,0.544,0.016110394981345345,0.09760143733173308,0.0003880843668270905
3,100,10.0,125,-0.003372095267489388,0.007434919692748662,0.272,0.016110394981345345,0.003110687980387049,-0.003368984579509001
3,100,15.0,125,-0.0033736506114795816,0.007435928460112956,0.272,0.016110394981345345,0.003110687980387049,-0.003368984579509001
3,100,25.0,125,-0.0033767612994599684,0.007437974535585341,0.272,0.016110394981345345,0.003110687980387049,-0.003368984579509001
3,100,35.0,125,-0.0033798719874403556,0.007440058639158848,0.272,0.016110394981345345,0.003110687980387049,-0.003368984579509001
5,10,10.0,81,0.0023112846095852332,0.005335397225181523,0.7407407407407407,0.01831792493546259,0.6762835568112715,0.002987568166396505
5,10,15.0,81,0.001973142831179598,0.005325640027253102,0.7160493827160493,0.01831792493546259,0.6762835568112715,0.002987568166396505
5,10,25.0,81,0.0012968592743683263,0.005307190492711641,0.6296296296296297,0.01831792493546259,0.6762835568112715,0.002987568166396505
5,10,35.0,81,0.0006205757175570547,0.005290173033240633,0.5802469135802469,0.01831792493546259,0.6762835568112715,0.002987568166396505
5,20,10.0,81,0.0015495346777578138,0.0038339897634315397,0.7407407407407407,0.01831792493546259,0.6020566569542675,0.0021515913347120814
5,20,15.0,81,0.00124850634928068,0.0038209547578722976,0.7037037037037037,0.01831792493546259,0.6020566569542675,0.0021515913347120814
5,20,25.0,81,0.0006464496923264125,0.00379641065447293,0.6296296296296297,0.01831792493546259,0.6020566569542675,0.0021515913347120814
5,20,35.0,81,4.439303537214518e-05,0.003773933831655156,0.6049382716049383,0.01831792493546259,0.6020566569542675,0.0021515913347120814
5,50,10.0,81,0.000547703499405067,0.001215872697192771,0.6790123456790124,0.01831792493546259,0.11571869889524262,0.0006634221983003095
5,50,15.0,81,0.0004898441499574454,0.0012165585188976496,0.6790123456790124,0.01831792493546259,0.11571869889524262,0.0006634221983003095
5,50,25.0,81,0.00037412545106220294,0.0012186396042435873,0.6296296296296297,0.01831792493546259,0.11571869889524262,0.0006634221983003095
5,50,35.0,81,0.0002584067521669602,0.00122166235488147,0.6049382716049383,0.01831792493546259,0.11571869889524262,0.0006634221983003095
5,100,10.0,81,-0.0048442727558277296,0.008885920769826527,0.3333333333333333,0.01831792493546259,0.019723933436042364,-0.0048245488223916866
5,100,15.0,81,-0.00485413472254575,0.008885244704209264,0.3333333333333333,0.01831792493546259,0.019723933436042364,-0.0048245488223916866
5,100,25.0,81,-0.004873858655981792,0.008884445162616118,0.3333333333333333,0.01831792493546259,0.019723933436042364,-0.0048245488223916866
5,100,35.0,81,-0.004893582589417835,0.008884382553883028,0.3333333333333333,0.01831792493546259,0.019723933436042364,-0.0048245488223916866
10,10,10.0,43,0.00539491681919498,0.006221412985577071,0.8372093023255814,0.015460325473558663,0.6139911456760718,0.006008907964871051
10,10,15.0,43,0.005087921246356944,0.006214866948649666,0.8372093023255814,0.015460325473558663,0.6139911456760718,0.006008907964871051
10,10,25.0,43,0.004473930100680872,0.006202088807463152,0.7906976744186046,0.015460325473558663,0.6139911456760718,0.006008907964871051
10,10,35.0,43,0.0038599389550047995,0.006189731394607873,0.7906976744186046,0.015460325473558663,0.6139911456760718,0.006008907964871051
10,20,10.0,43,0.0027513425195173392,0.004673993918563001,0.7906976744186046,0.015460325473558663,0.5161132732096645,0.003267455792727004
10,20,15.0,43,0.0024932858829125075,0.004661542291655321,0.7906976744186046,0.015460325473558663,0.5161132732096645,0.003267455792727004
10,20,25.0,43,0.001977172609702843,0.004637178200203705,0.627906976744186,0.015460325473558663,0.5161132732096645,0.003267455792727004
10,20,35.0,43,0.001461059336493178,0.00461354244795287,0.5813953488372093,0.015460325473558663,0.5161132732096645,0.003267455792727004
10,50,10.0,43,0.0007730540994245889,0.0015940374731244521,0.7441860465116279,0.015460325473558663,0.10410059086361885,0.0008771546902882079
10,50,15.0,43,0.0007210038039927795,0.0015919169692340058,0.7441860465116279,0.015460325473558663,0.10410059086361885,0.0008771546902882079
10,50,25.0,43,0.0006169032131291608,0.0015879334849668095,0.7209302325581395,0.015460325473558663,0.10410059086361885,0.0008771546902882079
10,50,35.0,43,0.0005128026222655417,0.0015842955004838931,0.7209302325581395,0.015460325473558663,0.10410059086361885,0.0008771546902882079
10,100,10.0,43,-0.009698770412345679,0.01663483013122597,0.23255813953488372,0.015460325473558663,0.01043048184515451,-0.009688339930500523
10,100,15.0,43,-0.009703985653268256,0.01663587405478955,0.23255813953488372,0.015460325473558663,0.01043048184515451,-0.009688339930500523
10,100,25.0,43,-0.00971441613511341,0.01663806134942157,0.23255813953488372,0.015460325473558663,0.01043048184515451,-0.009688339930500523
10,100,35.0,43,-0.009724846616958565,0.016640381196823612,0.23255813953488372,0.015460325473558663,0.01043048184515451,-0.009688339930500523
20,10,10.0,22,0.005422695191923931,0.007179892404459844,0.8636363636363636,0.03164002241082901,0.6146553884990484,0.006037350580422979
20,10,15.0,22,0.005115367497674406,0.007185485617050974,0.8636363636363636,0.03164002241082901,0.6146553884990484,0.006037350580422979
20,10,25.0,22,0.004500712109175358,0.0071969737913582235,0.7727272727272727,0.03164002241082901,0.6146553884990484,0.006037350580422979
20,10,35.0,22,0.0038860567206763096,0.0072088626879056985,0.7272727272727273,0.03164002241082901,0.6146553884990484,0.006037350580422979
20,20,10.0,22,0.004720086585307038,0.004788237792114811,0.7727272727272727,0.03164002241082901,0.5179092300576352,0.005237995815364673
20,20,15.0,22,0.00446113197027822,0.004785097966658242,0.7727272727272727,0.03164002241082901,0.5179092300576352,0.005237995815364673
20,20,25.0,22,0.003943222740220585,0.004779378055635893,0.7727272727272727,0.03164002241082901,0.5179092300576352,0.005237995815364673
20,20,35.0,22,0.00342531351016295,0.004774406663306582,0.7727272727272727,0.03164002241082901,0.5179092300576352,0.005237995815364673
20,50,10.0,22,0.0018513129989549612,0.0020922729341405315,0.7272727272727273,0.03164002241082901,0.10769507834646355,0.001959008077301425
20,50,15.0,22,0.0017974654597817294,0.0020902386148218726,0.7272727272727273,0.03164002241082901,0.10769507834646355,0.001959008077301425
20,50,25.0,22,0.0016897703814352661,0.002086544257971618,0.7272727272727273,0.03164002241082901,0.10769507834646355,0.001959008077301425
20,50,35.0,22,0.0015820753030888026,0.0020833511184989617,0.7272727272727273,0.03164002241082901,0.10769507834646355,0.001959008077301425
20,100,10.0,22,-0.020087814916439448,0.02120421476599648,0.09090909090909091,0.03164002241082901,0.00734417532075917,-0.020080470741118687
20,100,15.0,22,-0.020091487004099826,0.0212021212147844,0.09090909090909091,0.03164002241082901,0.00734417532075917,-0.020080470741118687
20,100,25.0,22,-0.020098831179420584,0.021197953497056415,0.09090909090909091,0.03164002241082901,0.00734417532075917,-0.020080470741118687
20,100,35.0,22,-0.020106175354741344,0.021193811638286677,0.09090909090909091,0.03164002241082901,0.00734417532075917,-0.020080470741118687
